Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,2,36.00000,0.94737,7.00000,1.00000,0.63036,0.63036
1,2,34.00000,0.89474,7.00000,1.00000,0.60228,0.60228
